State,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7
Alabama,0,0,0,0,0,0,0
Alaska,0,0,0,0,0,0,0
Arizona,15,15,15,15,15,15,0
Arkansas,0,0,0,0,0,0,0
California,57,57,57,57,57,57,0
Colorado,64,64,64,64,64,64,0
Connecticut,8,8,8,8,8,8,0
Delaware,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0,0
Florida,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0
Illinois,0,0,0,0,0,0,0
Indiana,0,0,0,0,0,0,0
Iowa,0,0,0,0,0,0,0
Kansas,105,104,104,103,103,103,0
Kentucky,120,120,120,119,120,120,0
Louisiana,0,0,0,0,0,0,0
Maine,0,16,16,16,16,16,0
Maryland,24,24,24,24,24,24,0
Massachusetts,14,14,14,14,14,14,0
Michigan,0,0,0,0,0,0,0
Minnesota,87,87,87,87,87,87,0
Mississippi,0,0,0,0,0,0,0
Missouri,0,0,114,113,114,115,0
Montana,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0
New Jersey,0,0,0,0,0,0,0
New Mexico,0,0,33,0,0,0,0
New York,62,62,62,62,62,62,0
North Carolina,0,0,0,0,0,0,0
North Dakota,0,0,0,0,52,50,0
Ohio,0,0,0,0,0,0,0
Oklahoma,77,77,77,77,76,77,0
Oregon,34,34,34,34,33,34,0
Pennsylvania,67,67,67,67,67,67,0
Puerto Rico,0,0,0,0,0,0,0
Rhode Island,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0
South Dakota,65,65,65,65,65,65,0
Tennessee,0,0,95,70,95,95,0
Texas,0,0,250,253,252,253,0
Utah,0,0,0,0,0,0,0
Vermont,12,12,12,12,12,12,0
Virginia,0,0,0,0,0,0,0
Washington,0,0,38,39,39,39,0
West Virginia,0,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0
